The first line (this line) of the header is always skipped; it typically contains a description of the file.

#--------------------- Header ---------------------
80 atoms
79 bonds

2 atom types
1 bond types

-4.1 4.1 xlo xhi
-4.1 4.1 ylo yhi
-5.03 5.887125 zlo zhi

#--------------------- Body ---------------------
#---------- Section 1 ----------
Atoms # bond
# atom-ID molecule-ID atom-type x y z nx ny nz
1 1 1 0.857949448463 0.0 -4.03 0 0 0
2 1 1 0.731522158745 0.448277355421 -3.917125 0 0 0
3 1 1 0.389500898859 0.764438556005 -3.80425 0 0 0
4 1 1 -0.0673139379066 0.85530467664 -3.691375 0 0 0
5 1 1 -0.504290033019 0.694095684122 -3.5785 0 0 0
6 1 1 -0.792641935365 0.328323039734 -3.465625 0 0 0
7 1 1 -0.847386667067 -0.134212863002 -3.35275 0 0 0
8 1 1 -0.652389878795 -0.557193594871 -3.239875 0 0 0
9 1 1 -0.26512095989 -0.815958413613 -3.127 0 0 0
10 1 1 0.200284321167 -0.834244236908 -3.014125 0 0 0
11 1 1 0.606661872924 -0.606661872924 -2.90125 0 0 0
12 1 1 0.834244236908 -0.200284321167 -2.788375 0 0 0
13 1 1 0.815958413613 0.26512095989 -2.6755 0 0 0
14 1 1 0.557193594871 0.652389878795 -2.562625 0 0 0
15 1 1 0.134212863002 0.847386667067 -2.44975 0 0 0
16 1 1 -0.328323039734 0.792641935365 -2.336875 0 0 0
17 1 1 -0.694095684122 0.504290033019 -2.224 0 0 0
18 1 1 -0.85530467664 0.0673139379066 -2.111125 0 0 0
19 1 1 -0.764438556005 -0.389500898859 -1.99825 0 0 0
20 1 1 -0.448277355421 -0.731522158745 -1.885375 0 0 0
21 1 1 -3.67739766062e-16 -0.857949448463 -1.7725 0 0 0
22 1 1 0.448277355421 -0.731522158745 -1.659625 0 0 0
23 1 1 0.764438556005 -0.389500898859 -1.54675 0 0 0
24 1 1 0.85530467664 0.0673139379066 -1.433875 0 0 0
25 1 1 0.694095684122 0.504290033019 -1.321 0 0 0
26 1 1 0.328323039734 0.792641935365 -1.208125 0 0 0
27 1 1 -0.134212863002 0.847386667067 -1.09525 0 0 0
28 1 1 -0.557193594871 0.652389878795 -0.982375 0 0 0
29 1 1 -0.815958413613 0.26512095989 -0.8695 0 0 0
30 1 1 -0.834244236908 -0.200284321167 -0.756625 0 0 0
31 1 1 -0.606661872924 -0.606661872924 -0.64375 0 0 0
32 1 1 -0.200284321167 -0.834244236908 -0.530875 0 0 0
33 1 1 0.26512095989 -0.815958413613 -0.418 0 0 0
34 1 1 0.652389878795 -0.557193594871 -0.305125 0 0 0
35 1 1 0.847386667067 -0.134212863002 -0.19225 0 0 0
36 1 1 0.792641935365 0.328323039734 -0.079375 0 0 0
37 1 1 0.504290033019 0.694095684122 0.0335 0 0 0
38 1 1 0.0673139379066 0.85530467664 0.146375 0 0 0
39 1 1 -0.389500898859 0.764438556005 0.25925 0 0 0
40 1 1 -0.731522158745 0.448277355421 0.372125 0 0 0
41 1 1 -0.857949448463 7.35479532124e-16 0.485 0 0 0
42 1 1 -0.731522158745 -0.448277355421 0.597875 0 0 0
43 1 1 -0.389500898859 -0.764438556005 0.71075 0 0 0
44 1 1 0.0673139379066 -0.85530467664 0.823625 0 0 0
45 1 1 0.504290033019 -0.694095684122 0.9365 0 0 0
46 1 1 0.792641935365 -0.328323039734 1.049375 0 0 0
47 1 1 0.847386667067 0.134212863002 1.16225 0 0 0
48 1 1 0.652389878795 0.557193594871 1.275125 0 0 0
49 1 1 0.26512095989 0.815958413613 1.388 0 0 0
50 1 1 -0.200284321167 0.834244236908 1.500875 0 0 0
51 1 1 -0.606661872924 0.606661872924 1.61375 0 0 0
52 1 1 -0.834244236908 0.200284321167 1.726625 0 0 0
53 1 1 -0.815958413613 -0.26512095989 1.8395 0 0 0
54 1 1 -0.557193594871 -0.652389878795 1.952375 0 0 0
55 1 1 -0.134212863002 -0.847386667067 2.06525 0 0 0
56 1 1 0.328323039734 -0.792641935365 2.178125 0 0 0
57 1 1 0.694095684122 -0.504290033019 2.291 0 0 0
58 1 1 0.85530467664 -0.0673139379066 2.403875 0 0 0
59 1 1 0.764438556005 0.389500898859 2.51675 0 0 0
60 1 1 0.448277355421 0.731522158745 2.629625 0 0 0
61 1 1 -4.20805072452e-16 0.857949448463 2.7425 0 0 0
62 1 1 -0.448277355421 0.731522158745 2.855375 0 0 0
63 1 1 -0.764438556005 0.389500898859 2.96825 0 0 0
64 1 1 -0.85530467664 -0.0673139379066 3.081125 0 0 0
65 1 1 -0.694095684122 -0.504290033019 3.194 0 0 0
66 1 1 -0.328323039734 -0.792641935365 3.306875 0 0 0
67 1 1 0.134212863002 -0.847386667067 3.41975 0 0 0
68 1 1 0.557193594871 -0.652389878795 3.532625 0 0 0
69 1 1 0.815958413613 -0.26512095989 3.6455 0 0 0
70 1 1 0.834244236908 0.200284321167 3.758375 0 0 0
71 1 1 0.606661872924 0.606661872924 3.87125 0 0 0
